taxel_id,raw_offset,raw_0,raw_9,calib_0,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7,calib_8,calib_9
0,760,0.0,3600.0,7.425232306528457,14.324264631694426,22.643041084088978,29.758774889821126,37.49480377750119,49.01701634419226,62.503601373231774,79.00735394547684,98.476149271357,114.8071052401938
1,760,0.0,3550.0,12.34619092780094,18.9338300860947,24.121051093485544,29.44470600054185,36.46007960016326,44.81536670437696,56.66455905758189,73.79670420312289,95.71001720462439,114.50305857228952
2,760,0.0,3250.0,12.59390505603863,18.254516817438116,23.944979213061927,30.642979377827306,37.4680664325961,46.84848265391567,59.724647761306166,76.25409767831754,97.55905514610993,117.04813683312622
3,760,0.0,3700.0,4.318013012615751,18.789017596610385,28.403541881320077,37.76179030121281,45.740756569132266,55.24714037461845,65.76475213011786,77.79299057538189,93.63240838437255,106.3886072507888
4,760,0.0,2300.0,14.751842586983152,22.224290628389817,28.61079765102998,36.497871095500145,45.62273231398083,56.14827259135999,68.75433060451422,85.22948052489065,102.86788565824952,119.15925185376719
5,760,0.0,2050.0,14.037352913048572,19.482293619030585,26.058359734706126,33.366433282120305,42.712225492869486,53.040712798306046,65.97936236245502,82.81908826080002,100.48510839741434,115.42486446544004
6,760,0.0,3450.0,12.678323576381466,17.156549289926723,22.031586856792373,28.070378700759782,35.781175998185574,45.513524621055595,56.67274741462931,72.8011905454029,92.20292031549027,109.8947556508563
7,760,0.0,3700.0,9.998312435620676,17.958351338201254,26.340093846076456,35.143319754515886,42.91681684863391,51.391789123132654,62.95495594655955,79.30110844694408,98.54231795520687,116.42546382072047
8,760,0.0,2400.0,20.499592392911723,31.10249207559771,38.65919963787709,44.78642220243069,52.19285308967927,61.949734536641664,72.71182229840647,86.71565056349866,100.44270127237863,112.73033997856137
9,760,0.0,3500.0,13.35829501964107,20.461488322605774,27.66939487611161,35.35140152625594,44.571467003218295,55.63493718508866,69.17083593231021,85.58841204119966,102.20764405019962,117.72015670979502
10,760,0.0,3900.0,9.363034451713304,22.622140640201405,29.446665042440394,35.093807282220745,42.47726187508641,51.49015688119918,63.14379987436101,78.13784523139553,96.1216429443503,112.00654491704731
11,760,0.0,2850.0,16.008811283576406,24.03487998621153,31.807793258401357,39.850880448764784,48.360187309662734,58.748146583426916,70.90389594894708,85.90983702374817,101.8077917277784,116.40583725628257
12,760,0.0,3550.0,15.122674571295647,22.341780003739693,28.654271892300695,34.831324065543626,42.43217666372035,51.62678523316313,62.19364378105055,78.75579060481027,98.0869347118728,115.18582159510632
13,760,0.0,3250.0,11.220639236849053,17.860509505395413,24.37511118591854,32.176230223486584,41.91047161407763,53.63012841243824,68.2609465081345,85.19639488299265,102.34333961380389,118.08833185821499
14,760,0.0,800.0,10.716051780866309,24.552106676593176,37.957862646584815,51.04467939079886,63.59226885926114,76.12044786856805,87.9912984975284,98.9681275203811,109.37339034696359,119.54871384059152
15,760,0.0,1550.0,11.643916955250923,22.240275595281787,29.884817271997154,38.337527451273175,47.59573245118984,58.41484363919884,71.68580817044563,87.65462628302228,102.77920100676191,116.29630395420119
16,760,0.0,2150.0,12.113359582687991,21.183320814310264,27.704343099677953,34.57846334888504,42.92109182619248,52.92981738724667,64.8814634712003,81.0044289894577,99.68411187372533,116.59426537484697
17,760,0.0,1600.0,10.764401836474136,18.92652391204706,27.77989158288016,37.20426752716406,47.195799580011254,59.69441366380211,73.72683805028034,89.32170390360416,104.11928539875058,117.7556788243918
